,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,3PA,PPG,RPG,TRB%,APG,SPG,BPG,TOPG
1371,Amir Johnson,Phi,PF,30,8,11.7,24.4,11.9,0.115,5,0.8,21,0,3.3,2.9,13.2,1.1,0.25,0.13,0.38
1372,Andre Iguodala,Gol,SF,34,15,26.8,55.7,12.5,0.123,34,0.706,48,37,8.1,4.5,9.4,2.7,1.4,0.47,0.93
1373,Andrew Wiggins,Min,SF,22,5,32.8,68.4,23.2,0.105,20,0.6,47,21,15.8,5.2,9.1,2,0.4,0.4,1.8
1374,Ante Zizic,Cle,PF,21,8,2.9,5.9,28.7,0.137,6,0.5,10,0,1.6,0.8,14.9,0.1,0,0.13,0.25
1375,Anthony Davis,Nor,PF,24,9,39.8,82.9,30.9,0.09,64,0.828,183,22,30.1,13.7,18.5,1.7,2,2.44,2.56
1376,Aron Baynes,Bos,C,31,19,20.5,42.7,12.1,0.076,18,0.722,66,23,6,6.3,16.9,1,0.21,0.63,0.42
1377,Bam Adebayo,Mia,PF,20,5,15.4,32.1,13.4,0.086,14,0.214,14,1,3.4,4,14.5,0,0,0.4,0.4
1378,Ben Simmons,Phi,PG,21,10,36.9,77,22.4,0.226,58,0.707,124,1,16.3,9.4,13.7,7.7,1.7,0.8,4.4
1379,Bojan Bogdanovic,Ind,SF,28,7,34,70.9,18.5,0.132,10,0.6,36,45,12.4,3.4,5.7,1.9,0.86,0,1.86
1380,Bradley Beal,Was,SG,24,6,35.9,74.8,27.3,0.113,23,0.87,63,45,23.2,3.3,5.3,2.8,1.17,0.33,2.5
1381,Brandon Jennings,Mil,PG,28,1,4.9,10.2,35.9,0.258,2,1,0,2,2,0,0,0,0,0,1
1382,Brandon Paul,San,SG,26,1,2.5,5.2,0,,0,0,0,0,0,1,22.2,1,0,0,0
1383,Bryn Forbes,San,SG,24,4,13.6,28.2,16.6,0,7,0.714,8,9,4.3,0.8,3.1,0.5,0,0,0
1384,Caleb Swanigan,Por,PF,20,1,7.9,16.5,26.4,0.21,4,0.75,1,1,3,2,13.8,1,0,0,1
1385,Carmelo Anthony,Okc,SF,33,6,32.3,67.3,18.7,0.071,15,0.733,44,28,11.8,5.7,9.7,0.3,1.67,0.67,1
1386,Cedi Osman,Cle,SF,22,14,4.4,9.2,14.3,0,4,0.25,11,7,1,0.5,6.4,0.2,0.21,0,0
1387,Cheick Diallo,Nor,PF,21,7,6.9,14.4,11.6,0.077,0,0,12,0,1.4,1.3,10,0,0.14,0.14,0.14
1388,Chinanu Onuaku,Hou,PF,21,1,3.2,6.7,0,,0,0,0,0,0,1,17.6,1,1,0,0
1389,Chris Paul,Hou,PG,32,15,34.5,71.8,26.4,0.091,53,0.83,158,99,21.1,5.9,9.7,5.8,2,0.27,1.87
1390,CJ McCollum,Por,SG,26,4,38.9,81,25.9,0.098,13,0.769,51,26,25.3,2,2.8,3.5,1.25,0.25,2.25
1391,CJ Miles,Tor,SF,30,10,22.7,47.3,16.9,0.103,16,0.813,26,45,9.6,2.4,6,0.8,0.7,0.3,0.9
1392,Clint Capela,Hou,C,23,17,30.6,63.7,15.6,0.082,55,0.473,144,0,12.7,11.6,21.3,1.3,0.82,2.12,0.88
1393,Corey Brewer,Okc,SF,31,6,25.2,52.5,8.4,0.067,6,1,14,11,6.2,2.2,4.7,0.8,1.17,0.83,0.33
1394,Cory Joseph,Ind,SG,26,7,20.5,42.6,12.4,0.101,6,1,22,11,4.7,2.4,6.7,3,1.29,0.29,0.57
1395,Dakari Johnson,Okc,C,22,2,1.7,3.4,0,,0,0,0,0,0,0,0,0,0,0,0
1396,Damian Jones,Gol,C,22,4,2.7,5.7,25.6,0.475,3,0.667,2,0,1,0.8,15.3,0,0,0,0.75
1397,Damian Lillard,Por,PG,27,4,40.6,84.6,25.5,0.169,17,0.882,41,30,18.5,4.5,6,4.8,1.25,0,4
1398,Danny Green,San,SG,30,5,20.6,42.9,13.9,0.063,0,0,10,20,4.2,2.2,5.9,0.2,0.2,0.8,0.4
1399,Dante Exum,Uta,PG,22,10,11.4,23.7,24.2,0.245,12,0.75,34,7,5.1,1.4,6.9,1,0.1,0.1,1.5
1400,Dario Saric,Phi,PF,23,10,32.9,68.4,22.5,0.086,40,0.85,89,52,17.2,7.4,12.1,3.5,1,0.4,1.5
1401,Darius Miller,Nor,SF,27,9,18,37.6,11.4,0.141,6,1,10,24,4.8,2.2,6.6,1.2,0.56,0,0.67
1402,Darren Collison,Ind,PG,30,7,30.6,63.7,17.2,0.109,12,0.75,45,23,11.3,3,5.6,4.7,1,0,1.29
1403,David Stockton,Uta,G,26,2,2.9,6,23.2,0,0,0,2,1,1,0.5,9.7,0,0,0,0
1404,David West,Gol,PF,37,18,9.7,20.2,14.3,0.176,4,1,43,2,3.3,2.1,11.8,1.8,0.33,0.56,0.56
1405,Davis Bertans,San,PF,25,5,16.5,34.4,12.9,0.042,11,0.727,2,16,3.4,2.2,7.4,1.2,0.4,0,0.2
1406,DeAndre Liggins,Nor,SG,29,3,4.5,9.4,12.3,0.515,2,0.5,1,0,0.3,0.3,4,0,0,0,0.67
1407,Dejounte Murray,San,PG,21,5,19.2,40,18.6,0.125,9,0.778,25,6,7.8,4.2,12.2,1.8,1,0.4,1
1408,Delon Wright,Tor,PG,25,10,21.5,44.8,17.2,0.107,16,0.938,47,21,8.6,2.2,5.8,2.3,1.5,0.9,0.9
1409,DeMar DeRozan,Tor,SG,28,10,35.4,73.8,30.5,0.094,53,0.811,164,35,22.7,3.6,5.7,4,0.5,0.6,2.3
1410,Derrick Favors,Uta,PF,26,11,26,54.2,14.5,0.108,33,0.485,63,5,9.3,5.2,11.2,1.2,0.73,1,0.91
1411,Derrick Rose,Min,PG,29,5,23.8,49.5,25.4,0.118,7,0.857,47,10,14.2,1.8,4.4,2.6,0.4,0,1.6
1412,Derrick White,San,PG,23,3,6.1,12.6,14.8,0,0,0,4,2,2.3,0,0,0.3,0.33,0.67,0
1413,Domantas Sabonis,Ind,PF,21,7,23.7,49.5,20.7,0.091,18,0.778,55,7,12.4,4.6,10.9,0.7,0.14,0.29,1
1414,Donovan Mitchell,Uta,SG,21,11,37.4,77.9,32.1,0.109,43,0.907,163,80,24.4,5.9,8.9,4.2,1.45,0.36,2.91
1415,Draymond Green,Gol,PF,27,21,39,81.2,14.9,0.228,49,0.796,113,79,10.8,10.6,15.1,8.1,1.86,1.48,3
1416,Dwyane Wade,Mia,SG,36,5,25.5,53.1,32.5,0.119,26,0.808,66,4,16.6,4.2,9.2,3.6,1.4,0.2,2.2
1417,Ed Davis,Por,PF,28,4,17.7,36.9,9.8,0.254,4,0.25,10,0,2.8,8,24.6,0,0,0.25,1
1418,Ekpe Udoh,Uta,PF,30,6,3.5,7.2,8.1,0.266,4,0,1,0,0.3,0.5,8.1,0,0,0.33,0.17
1419,Emeka Okafor,Nor,C,35,1,3.6,7.5,12,0,0,0,1,0,0,0,0,0,0,0,0
1420,Eric Bledsoe,Mil,PG,28,7,32.1,66.9,21.8,0.139,20,0.7,62,22,13.6,3.4,6.3,3.7,1,0.86,2.14
