,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,3PA,PPG,RPG,TRB%,APG,SPG,BPG,TOPG
0,Precious Achiuwa,Tor,F,22.51,63,23.6,49.3,18.2,11.5,109,0.587,398,114,8.8,6.9,15.7,1.1,0.51,0.54,1.16
1,Steven Adams,Mem,C,28.67,68,26.5,55.1,12.3,19.7,184,0.543,349,1,7.1,9.9,19.4,3.2,0.82,0.75,1.56
2,Bam Adebayo,Mia,C-F,24.68,47,32.9,68.5,25.2,14.6,276,0.757,622,5,19,10.3,17.6,3.5,1.49,0.83,2.72
3,Santi Aldama,Mem,F-C,21.2,27,10.2,21.4,17,7.8,20,0.6,58,39,3.3,2.4,12,0.5,0.07,0.26,0.33
4,LaMarcus Aldridge,Bro,C-F,36.68,45,22.8,47.6,22.7,7.8,102,0.873,410,45,13.5,5.6,13.4,0.9,0.31,1.02,0.93
5,Nickeil Alexander-Walker,Nor,G,23.55,50,26.3,54.9,24.8,11.2,97,0.722,327,305,12.8,3.3,6.8,2.8,0.82,0.38,1.7
6,Nickeil Alexander-Walker,Uta,G,23.55,10,11.3,23.6,18,12.8,11,0.909,12,24,3.8,2,9.6,1.2,0.3,0.3,0.6
7,Grayson Allen,Mil,G,26.46,60,27.4,57.1,15.5,6,65,0.862,167,365,11.2,3.4,6.4,1.6,0.73,0.25,0.6
8,Jarrett Allen,Cle,C,23.92,56,32.3,67.3,18.1,12.7,233,0.708,535,10,16.1,10.7,18.3,1.6,0.77,1.34,1.68
9,Jose Alvarado,Nor,G,23.95,44,14.7,30.5,18.2,11.7,39,0.718,135,89,5.6,1.8,6.6,2.6,1.25,0.14,0.73
10,Justin Anderson,Cle,F-G,28.34,3,15.5,32.4,11.1,17,4,0.75,2,6,4.3,2,7.1,2,0.33,0,0.67
11,Justin Anderson,Ind,F-G,28.34,5,15.2,31.7,17.3,9.8,6,1,8,17,5.6,2,7.3,1.4,0.4,0.2,0.6
12,Kyle Anderson,Mem,F-G,28.51,59,21.4,44.6,16,11.6,89,0.607,305,92,7.3,5.4,13.2,2.6,1.1,0.63,0.97
13,Giannis Antetokounmpo,Mil,F,27.29,60,32.8,68.4,34.9,12.2,691,0.721,886,222,29.7,11.6,18.6,5.8,1.07,1.38,3.27
14,Thanasis Antetokounmpo,Mil,F,29.68,43,9.1,19.1,14.5,15,32,0.594,88,11,2.8,2.1,12.3,0.4,0.33,0.21,0.47
15,Carmelo Anthony,Lal,F,37.81,63,26.3,54.8,20.3,7.2,152,0.829,289,369,13.5,4.2,8.5,1,0.7,0.79,0.89
16,Cole Anthony,Orl,G,21.85,59,32.5,67.7,25.3,14.1,236,0.856,488,369,16.9,5.5,9,5.7,0.75,0.27,2.68
17,OG Anunoby,Tor,F,24.68,42,36.7,76.4,21,9.8,107,0.748,350,285,17.5,5.5,8.1,2.6,1.55,0.57,1.76
18,Ryan Arcidiacono,Nyk,G,27.99,5,3.2,6.8,8.1,0,0,0,1,2,1.2,0.2,3.3,0,0,0,0
19,Trevor Ariza,Lal,F,36.73,22,18.9,39.3,10.2,10.1,15,0.533,16,66,3.8,3.2,9.1,1,0.5,0.18,0.45
20,D.J. Augustin,Hou,G,34.37,34,15,31.2,16.5,22.8,38,0.868,40,96,5.4,1.2,4.4,2.2,0.29,0,1.32
21,D.J. Augustin,Lal,G,34.37,11,17.1,35.6,12,9.5,1,1,11,36,6.3,1.1,3.4,1.5,0.36,0,0.45
22,Deni Avdija,Was,F,21.22,71,23.4,48.8,15.3,10.9,123,0.764,256,199,7.6,5.1,11.9,1.8,0.76,0.54,0.87
23,Joel Ayayi,Was,G,22.05,7,2.9,6,13.2,0,0,0,5,1,0.3,0.4,8.2,0.6,0,0,0
24,Deandre Ayton,Pho,C,23.67,51,29.3,61,21,10.6,125,0.744,578,16,17,10,18.3,1.4,0.71,0.71,1.51
25,Udoka Azubuike,Uta,C-F,22.51,17,11.5,23.9,14.7,18.2,11,0.545,49,0,4.7,4.2,19.8,0,0.06,0.65,0.71
26,Marvin Bagley III,Sac,F,23.03,30,21.9,45.6,18.8,7.3,47,0.745,184,62,9.3,7.2,17.7,0.6,0.3,0.37,0.7
27,Marvin Bagley III,Det,F,23.03,13,26.5,55.2,21.7,8.6,35,0.486,120,24,13.7,7.1,14.4,1.2,0.69,0.31,1.15
28,LaMelo Ball,Cha,G,20.58,65,32.1,66.9,27.9,14.8,222,0.869,598,473,19.6,6.8,11.1,7.4,1.52,0.46,3.12
29,Lonzo Ball,Chi,G,24.4,35,34.6,72.2,17.3,17.2,28,0.75,123,260,13,5.4,8.8,5.1,1.83,0.89,2.34
30,Mo Bamba,Orl,C,23.86,62,25.8,53.8,16.9,11.5,64,0.797,296,230,10.2,8,16.3,1.1,0.56,1.69,1.16
31,Desmond Bane,Mem,G,23.74,68,30,62.6,23,8.7,138,0.899,511,474,17.9,4.5,7.8,2.7,1.16,0.4,1.47
32,Dalano Banton,Tor,F,22.37,60,11.3,23.5,17,19.3,42,0.595,148,51,3.3,2,9.4,1.6,0.43,0.17,0.87
33,Cat Barber,Atl,G,20,3,4.3,8.9,23.1,14.8,4,0,4,0,0,1,12.8,1,0,0,0.33
34,Harrison Barnes,Sac,F,29.81,68,33.8,70.5,18.9,10.7,385,0.831,425,316,16.8,5.8,9.2,2.5,0.71,0.19,1.6
35,Scottie Barnes,Tor,F,20.64,64,35.8,74.7,19.1,12,186,0.726,654,165,15.4,7.7,11.6,3.4,1.14,0.81,1.92
36,RJ Barrett,Nyk,F-G,21.77,61,34.4,71.7,27.1,9.9,340,0.709,672,352,19.7,5.9,9.1,2.9,0.61,0.26,2.11
37,Will Barton,Den,G,31.21,63,31.7,66,21,11.7,114,0.798,416,377,14.5,4.8,8.5,3.8,0.79,0.46,1.78
38,Charles Bassey,Phi,C-F,21.4,23,7.3,15.2,16.2,13.3,12,0.75,43,4,3,2.7,20.5,0.3,0.22,0.74,0.35
39,Paris Bass,Pho,F,26.57,2,3.7,7.7,51.9,22.5,2,1,4,2,3,2,29,0,0.5,0,1
40,Keita Bates-Diop,San,F,26.16,51,16.1,33.5,14,12.9,48,0.708,167,49,5.3,3.9,12.6,0.7,0.49,0.27,0.69
41,Nicolas Batum,Lac,G-F,33.27,53,24.7,51.4,13.5,8.7,32,0.625,104,249,8.3,4.4,9.2,1.7,0.92,0.72,0.66
42,Kent Bazemore,Lal,G-F,32.73,37,14,29.2,13.3,11.8,17,0.765,58,76,3.6,1.8,6.7,0.9,0.65,0.22,0.51
43,Darius Bazley,Okc,F-G,21.78,67,28.1,58.5,18.2,11.3,163,0.687,373,260,10.9,6.4,11.6,1.4,0.87,1.04,1.34
44,Bradley Beal,Was,G,28.74,40,36,74.9,30.8,13.6,203,0.833,561,210,23.2,4.7,7.2,6.6,0.9,0.38,3.38
45,Malik Beasley,Min,G,25.32,72,25.2,52.5,19.6,4.8,49,0.776,204,586,12.2,2.9,6.2,1.5,0.51,0.14,0.57
46,Jordan Bell,Chi,F,27.21,1,2,4.2,0,,0,0,0,0,0,1,27.9,0,1,0,0
47,DeAndre' Bembry,Bro,G-F,27.72,48,19.8,41.2,11.7,11.6,35,0.6,177,36,5.8,3.2,8.7,1.3,0.98,0.52,0.63
48,DeAndre' Bembry,Mil,G-F,27.72,8,9.6,20.1,5,11.1,0,0,8,0,0.8,1.4,7.5,0.8,0.25,0,0.13
49,Davis Bertans,Was,F,29.36,34,14.7,30.7,17.6,7.1,30,0.933,27,144,5.7,1.8,6.7,0.5,0.32,0.18,0.41
50,Davis Bertans,Dal,F,29.36,14,13.6,28.3,17.9,2.6,6,0.667,12,59,4.6,2.2,9,0.5,0.21,0.21,0.14
51,Patrick Beverley,Min,G,33.69,51,25.6,53.3,16.3,13.4,112,0.705,170,221,9.3,4.2,8.8,4.7,1.14,0.94,1.33
52,Saddiq Bey,Det,F,22.95,72,33.9,70.5,21.2,7.5,230,0.822,474,539,16.5,5.8,9.2,2.9,0.88,0.22,1.25
53,Khem Birch,Tor,C,29.48,46,18.7,38.9,11.3,10.1,68,0.765,163,11,4.7,4.6,13.2,1.1,0.59,0.5,0.5
54,Goga Bitadze,Ind,C-F,22.67,44,12.9,26.8,20,13.6,69,0.623,134,64,6,3.3,14,1,0.39,0.73,0.82
55,Bismack Biyombo,Pho,C,29.57,28,13.9,28.9,17.5,13.4,57,0.544,111,0,5.9,4.5,17.4,0.6,0.39,0.71,0.75
56,Nemanja Bjelica,Gol,F,33.87,63,15.7,32.7,17.9,18,70,0.686,170,132,5.8,4,13.8,2.1,0.57,0.37,1.16
57,Eric Bledsoe,Lac,G,32.29,54,25.2,52.5,20.6,18.3,117,0.761,305,163,9.9,3.4,7,4.2,1.28,0.35,2.15
58,Keljin Blevins,Por,G,26.33,20,8.3,17.3,15.1,15.6,6,0.5,16,30,2.5,0.8,5.3,0.7,0.1,0.05,0.45
59,Bojan Bogdanovic,Uta,F,32.93,64,30.9,64.4,23.6,10.2,231,0.87,427,434,18.1,4.3,7.5,1.7,0.42,0.02,1.7
60,Bogdan Bogdanovic,Atl,G,29.59,54,29.6,61.7,21.1,8,94,0.862,282,385,14.7,4,7.3,3.2,1.06,0.24,1.15
61,Bol Bol,Den,C-F,22.35,13,6.2,12.9,17.6,12.4,3,0.667,23,4,2.5,1.5,13.8,0.4,0.08,0.15,0.31
62,Leandro Bolmaro,Min,F,21.53,30,7,14.6,11.7,22,9,0.889,25,17,1.2,1.2,9.3,0.5,0.2,0,0.43
63,Isaac Bonga,Tor,G,22.37,15,4.6,9.5,11.5,10.8,8,0.625,9,4,0.8,0.5,5.5,0.3,0.53,0.13,0.13
64,Devin Booker,Pho,G,25.39,61,34.3,71.5,31.9,9.7,298,0.872,826,436,25.9,5.1,8,4.9,1.18,0.41,2.46
65,Brandon Boston Jr.,Lac,G,20.32,50,14.4,30.1,22.5,8.1,68,0.838,201,109,6.5,2.1,7.5,0.9,0.5,0.24,0.6
66,Chris Boucher,Tor,F-C,29.2,70,20.8,43.3,17.6,6.5,167,0.772,296,192,9.2,6.1,16,0.3,0.61,0.97,0.56
67,James Bouknight,Cha,G,21.51,28,10.6,22,23.3,8,31,0.871,87,49,5,1.7,8.5,0.8,0.25,0.04,0.46
68,Avery Bradley,Lal,G,31.32,58,22.6,47.1,12.4,9.8,18,0.889,133,200,6.4,2.2,5.3,0.8,0.86,0.16,0.64
69,Tony Bradley,Chi,C-F,24.2,50,10.4,21.7,12.8,19.7,25,0.68,111,0,2.9,3.5,18.6,0.5,0.22,0.64,0.6
70,Ignas Brazdeikis,Orl,F,23.2,34,9.4,19.7,16.1,8.4,17,0.765,56,46,3.3,1.3,7.1,0.7,0.24,0.06,0.29
71,Miles Bridges,Cha,F,24.01,70,35.9,74.9,22.3,10.3,290,0.81,653,407,20,7,10.2,3.8,0.97,0.89,1.94
72,Mikal Bridges,Pho,F,25.56,72,35.3,73.6,14.8,6.5,132,0.841,476,282,14.1,4.3,6.6,2.3,1.21,0.46,0.79
73,Oshae Brissett,Ind,F-G,23.76,59,22,45.7,16.6,8.4,132,0.689,217,185,8.1,5.1,12.8,0.9,0.56,0.46,0.71
74,Malcolm Brogdon,Ind,G,29.28,36,33.5,69.8,24.6,11.1,167,0.856,357,186,19.1,5.1,8.5,5.9,0.86,0.39,2.14
75,Armoni Brooks,Hou,G,23.8,41,16.8,35.1,17.4,8.1,19,0.842,38,213,6.2,2,6.4,1.2,0.51,0.2,0.56
76,Armoni Brooks,Tor,G,23.8,7,10,20.9,12.8,4.8,0,0,2,18,2.4,1.1,6.2,0.4,0.43,0.14,0.14
77,Dillon Brooks,Mem,G-F,26.16,25,27.5,57.4,28.3,8.6,82,0.878,279,118,17.7,3.2,6,2.7,1.32,0.24,1.64
78,Chaundee Brown Jr.,Lal,G,23.3,2,10.3,21.5,16.7,12.5,0,0,4,3,1,1,5.2,0,0,0,0.5
79,Charlie Brown Jr.,Dal,G,24.13,3,5.1,10.7,14.6,0,0,0,2,3,0.7,0.3,3.6,0.3,0.67,0.33,0
80,Chaundee Brown Jr.,Atl,G,23.3,3,27.7,57.7,14.6,0,6,0.833,10,15,9.7,4.7,9.2,1.3,0.67,0,0
81,Charlie Brown Jr.,Phi,G,24.13,17,9.3,19.4,12.4,11.5,10,0.9,25,9,1.6,1.8,10.9,0.3,0.47,0.18,0.29
82,Greg Brown III,Por,F,20.56,38,10.9,22.7,17.5,11.3,51,0.627,93,33,3.8,2.3,11.3,0.5,0.47,0.45,0.5
83,Troy Brown Jr.,Chi,G-F,22.65,60,16.2,33.7,12.2,8.6,25,0.76,115,119,4.2,3.1,10.6,0.9,0.5,0.08,0.38
84,Bruce Brown,Bro,G-F,25.6,63,23.6,49.2,14.8,8.4,102,0.745,349,74,8.2,4.7,10.9,1.8,1.08,0.52,0.68
85,Jaylen Brown,Bos,G-F,25.41,58,33.8,70.3,30.4,11.8,281,0.754,651,415,23.2,6.1,9.6,3.2,1.03,0.28,2.74
86,Moses Brown,Dal,C,22.44,26,6.5,13.5,22.1,16.9,43,0.628,50,0,3.1,2.3,20,0,0.12,0.35,0.54
87,Moses Brown,Cle,C,22.44,5,5.9,12.3,24.1,0,7,0.286,13,0,2.8,1.8,16.8,0,0.6,0.6,0
88,Sterling Brown,Dal,G-F,27.11,47,12.7,26.5,13.2,12.5,15,0.933,60,87,3.3,3,13.2,0.7,0.26,0.15,0.47
89,Jalen Brunson,Dal,G,25.56,69,32.1,66.8,21.7,10.9,171,0.83,664,213,16,3.7,6.3,5,0.88,0.04,1.7
90,Thomas Bryant,Was,C-F,24.64,22,17.5,36.4,19.5,10.1,36,0.861,98,38,8.4,4,12.4,1,0.27,0.82,0.77
91,Shaq Buchanan,Mem,G,20,2,4.9,10.2,25.1,33.3,0,0,2,2,1,1,10.6,1,0.5,0,1
92,Reggie Bullock,Dal,G-F,31.02,58,27,56.3,13.5,7,44,0.818,92,327,8.4,3.4,7.1,1.1,0.59,0.22,0.57
93,Trey Burke,Dal,G,29.36,38,10.9,22.7,26,10.9,23,0.87,124,79,5.4,0.8,4.1,1.3,0.29,0,0.68
94,Alec Burks,Nyk,G,30.67,71,27.8,57.9,17.6,9.1,225,0.818,298,325,11.1,4.7,9,2.8,1.06,0.31,1.01
95,Jared Butler,Uta,G,21.57,36,8,16.7,23.6,18.6,12,0.583,53,69,3.7,0.9,6.1,1.4,0.36,0.19,0.81
96,Jimmy Butler,Mia,F,32.52,49,33.7,70.1,26.9,10.2,399,0.875,629,92,21.3,6,10.1,5.6,1.73,0.51,2.08
97,Devontae Cacok,San,F,25.45,11,8.4,17.5,14.2,6.4,7,0.571,26,0,3.6,3.3,20.4,0.5,0.64,0.64,0.18
98,Kentavious Caldwell-Pope,Was,G,29.09,68,30.1,62.8,18.4,9.4,136,0.89,351,357,12.5,3.4,6.2,1.9,1.07,0.34,1.18
99,Facundo Campazzo,Den,G,31,63,18.6,38.8,14.7,16.9,78,0.769,102,189,5.2,1.9,5.5,3.4,0.97,0.37,1.05
100,Vlatko Cancar,Den,F,24.95,14,10.9,22.7,15.1,15.3,12,0.75,27,12,4.3,1.6,8.4,0.9,0.14,0.21,0.57
101,Clint Capela,Atl,C,27.85,64,27.8,58,15.1,6.2,144,0.465,513,1,10.8,11.8,23.2,1.3,0.69,1.33,0.59
102,Vernon Carey Jr.,Cha,F-C,21.07,4,4.2,8.8,20.9,12,3,0.667,6,0,2,1.3,15.5,0,0.25,0,0.25
103,Vernon Carey Jr.,Was,F-C,21.07,1,1.4,2.9,0,,0,0,0,0,0,0,0,0,0,0,0
104,Wendell Carter Jr.,Orl,C-F,22.93,61,29.9,62.3,20.7,13.2,201,0.706,460,210,15,10.4,18.4,2.7,0.57,0.7,1.89
105,Jevon Carter,Bro,G,26.52,46,12,25,16,12.7,10,0.7,47,127,3.6,1.5,6.6,1,0.3,0.22,0.57
106,Jevon Carter,Mil,G,26.52,12,18.7,39,10.2,9.3,8,1,15,30,5.9,2.3,6.6,2.2,0.25,0.25,0.42
107,Alex Caruso,Chi,G,28.06,34,27.8,57.9,14,16.9,67,0.776,115,106,8,3.6,7.2,3.9,1.82,0.41,1.5
108,Willie Cauley-Stein,Dal,C,28.6,18,9.8,20.5,10.9,16.3,2,0.5,33,2,1.9,2.1,11.8,0.5,0.33,0.17,0.39
109,Willie Cauley-Stein,Phi,C,28.6,2,2.9,5.9,0,,0,0,0,0,0,1,19.5,0.5,0,0,0
110,Ahmad Caver,Ind,G,20,1,0.9,1.9,47.6,0,0,0,1,0,2,0,0,0,0,0,0
111,Justin Champagnie,Tor,G-F,20.73,35,7.8,16.3,11.9,9.2,9,1,39,26,2.2,2,13.8,0.3,0.2,0.11,0.2
112,Zylan Cheatham,Uta,F,26.35,1,5.2,10.8,25.1,0,0,0,1,2,0,0,0,0,0,0,0
113,Chris Chiozza,Gol,G,26.34,32,10.7,22.3,13,27.3,1,1,26,48,1.9,1.1,5.4,1.9,0.38,0,0.88
114,Marquese Chriss,Dal,F,24.72,25,11.2,23.4,22.3,12.2,23,0.609,90,22,5.1,3.6,17.7,0.5,0.44,0.48,0.68
115,Josh Christopher,Hou,G,20.29,64,17.1,35.6,20.7,17.1,78,0.769,251,157,7.3,2.3,7.5,1.9,0.8,0.14,1.42
116,Brandon Clarke,Mem,F,25.51,57,19.4,40.4,17.4,6.2,116,0.655,369,20,10.2,5.5,14.6,1.3,0.58,1.16,0.51
117,Gary Clark,Nor,F,27.35,34,9.7,20.3,11.1,8.2,8,0.75,13,62,2.5,2.4,13.3,0.4,0.32,0.21,0.21
118,Jordan Clarkson,Uta,G,29.79,69,26.8,55.8,27.2,9.6,149,0.839,455,525,16.2,3.4,7,2.3,0.84,0.22,1.61
119,Nic Claxton,Bro,F-C,22.93,37,20.7,43.1,15.5,10.2,74,0.581,215,0,8.7,5.5,14.5,0.9,0.49,1.14,0.76
120,Amir Coffey,Lac,G-F,24.77,61,23.4,48.8,15.3,8.1,106,0.849,184,226,8.7,2.8,6.2,1.7,0.54,0.21,0.66
121,John Collins,Atl,F-C,24.5,54,30.8,64.1,20.5,7.7,169,0.793,468,176,16.2,7.8,13.9,1.8,0.61,1.04,1.11
122,Zach Collins,San,F-C,24.34,18,16.3,33.9,18.4,21.9,25,0.8,60,29,6.1,4.7,15,1.8,0.39,0.72,1.56
123,Darren Collison,Lal,G,34.58,3,12.4,25.8,9.3,12.5,0,0,4,3,1.3,1.3,5.7,0.7,0.33,0,0.33
124,Mike Conley,Uta,G,34.45,63,28.2,58.8,20.9,12.4,147,0.823,325,360,13.5,3,5.9,5.3,1.35,0.32,1.68
125,Pat Connaughton,Mil,G,29.21,56,26.8,55.8,13.7,6.4,40,0.825,109,325,10.2,4.4,8.6,1.3,0.93,0.25,0.55
126,Tyler Cook,Chi,F,24.5,19,10.3,21.5,12.7,12.4,31,0.645,36,0,3.4,2.7,14.8,0.2,0.21,0.21,0.37
127,Sharife Cooper,Atl,G,20.78,11,3.2,6.7,23.6,26.3,0,0,8,6,0.6,0.5,7.8,0.5,0,0,0.45
128,Petr Cornelie,Den,F,26.66,13,2.9,6.1,24,19.3,4,0.75,7,8,1.1,1.1,20.5,0.2,0.08,0.08,0.31
129,DeMarcus Cousins,Mil,C,31.61,17,16.9,35.1,22.5,10.6,38,0.816,70,48,9.1,5.8,18,1.1,0.94,0.47,0.94
130,DeMarcus Cousins,Den,C,31.61,22,14.7,30.5,32.7,20.9,69,0.71,103,56,9.2,6,22.6,1.8,0.82,0.45,2.27
131,Robert Covington,Por,F,31.27,48,29.8,62.1,12.4,14.2,36,0.833,106,230,7.6,5.7,10.4,1.4,1.54,1.31,1.21
132,Robert Covington,Lac,F,31.27,15,21.5,44.8,16.6,9.9,21,0.857,36,64,9.1,5.1,12.5,1.1,1.4,1.33,0.8
133,Torrey Craig,Ind,F,31.26,51,20.3,42.2,13.9,11.6,35,0.771,143,138,6.5,3.8,10.4,1.1,0.47,0.37,0.76
134,Torrey Craig,Pho,F,31.26,17,21.8,45.4,14.9,15.7,17,0.706,45,55,6.9,5.3,13,1.4,0.76,0.76,1.18
135,Jae Crowder,Pho,F,31.71,60,28.2,58.7,14.8,8.8,84,0.798,166,324,9.6,5.3,10,1.8,1.37,0.42,0.85
136,Jarrett Culver,Mem,G-F,23.09,32,8.6,17.9,20.2,11.1,27,0.444,71,37,3.4,1.3,7.6,0.9,0.53,0.13,0.47
137,Jarron Cumberland,Por,G,24.5,3,4.1,8.5,7,0,0,0,1,1,0.7,1,13.3,0.3,0,0,0
138,Cade Cunningham,Det,G,20.49,56,32.7,68,27.2,17.5,141,0.837,563,331,17.1,5.8,9.6,5.4,1.21,0.66,3.63
139,Seth Curry,Phi,G,31.58,45,34.8,72.5,18.6,13,73,0.877,278,250,15,3.4,5.4,4,0.8,0.24,1.87
140,Seth Curry,Bro,G,31.58,13,30.3,63.2,19.6,11.8,13,0.846,67,85,15.5,2.9,5.3,2.8,1.08,0.15,1.62
141,Stephen Curry,Gol,G,34.02,64,34.6,72,30.8,13.2,298,0.923,474,750,25.5,5.2,8.2,6.3,1.33,0.36,3.22
142,Anthony Davis,Lal,F-C,29.03,37,35.1,73.1,26.9,9.4,227,0.709,569,66,23.1,9.7,14.8,2.9,1.22,2.32,2.05
143,Ed Davis,Cle,C-F,32.8,26,7.1,14.8,6.5,18.4,14,0.429,16,0,1.1,2.3,18.2,0.2,0.12,0.31,0.19
144,Terence Davis,Sac,G,24.85,30,17.9,37.2,25.5,10.3,44,0.818,118,149,10.4,3.1,9.5,1.3,0.83,0.37,1.1
145,Gabriel Deck,Okc,F,27.12,7,7.9,16.5,12.4,12.5,0,0,10,4,2.6,0.9,5.5,0.7,0.14,0,0.29
146,Dewayne Dedmon,Mia,C,32.61,60,16,33.4,16.5,17.4,79,0.797,225,35,6.2,5.9,20.7,0.8,0.35,0.63,1.03
147,Sam Dekker,Tor,F,27.88,1,0.9,1.9,0,,0,0,0,0,0,0,0,0,0,0,0
148,Javin DeLaurier,Mil,C,20,1,2.8,5.8,0,,0,0,0,0,0,1,18.8,0,1,0,0
149,DeMar DeRozan,Chi,G-F,32.63,68,36,75,31.5,9.1,525,0.869,1238,128,27.6,5.3,8.3,5,0.9,0.35,2.34
150,Mamadi Diakite,Okc,F,25.17,13,14.4,30.1,13.3,10.4,11,0.545,42,5,4.3,4.5,15.8,0.2,0.38,0.69,0.46
151,Cheick Diallo,Det,F-C,25.52,3,10.2,21.3,16.3,8.6,6,0.833,8,0,3.7,4,21.2,0,0.33,0,0.33
152,Hamidou Diallo,Det,G,23.64,58,21.9,45.6,21.8,9,140,0.65,433,93,11,4.8,11.8,1.3,1.22,0.29,1
153,Gorgui Dieng,Atl,C,32.18,41,8.7,18.1,16.6,14.8,24,0.708,44,61,3.6,2.9,18,0.8,0.27,0.32,0.49
154,Spencer Dinwiddie,Was,G,28.96,44,30.2,63,21,11.6,143,0.811,266,226,12.6,4.7,8.6,5.8,0.61,0.16,1.66
155,Spencer Dinwiddie,Dal,G,28.96,14,31.1,64.9,22.2,7,74,0.743,100,68,17.6,3.6,6.3,4.1,0.93,0.21,1.07
156,Donte DiVincenzo,Mil,G,25.14,17,20.1,41.8,19.8,17.7,27,0.852,44,74,7.2,3.5,9.3,1.7,0.65,0.18,1.65
157,Donte DiVincenzo,Sac,G,25.14,16,25.2,52.6,17.3,13.5,30,0.9,43,85,9.1,3.8,8.2,3.3,1.44,0.13,1.38
158,Luka Doncic,Dal,F-G,23.06,56,35.6,74.3,37.1,15.5,408,0.735,726,485,27.9,9.1,14.1,8.6,1.18,0.55,4.57
159,Luguentz Dort,Okc,G,22.93,51,32.7,68,23.3,9.8,191,0.843,335,391,17.2,4.2,6.5,1.7,0.9,0.35,1.73
160,Ayo Dosunmu,Chi,G,22.18,67,27,56.2,13.8,15.7,67,0.672,290,159,8.6,2.8,5.7,3.3,0.79,0.42,1.33
161,Damyean Dotson,Nyk,G,27.88,2,10.3,21.5,8.5,0,0,0,3,1,2,1,5.2,0.5,0,0,0
162,Devon Dotson,Chi,G,22.64,11,7.7,16.1,16.5,15.6,9,0.556,14,9,2.6,0.8,5.9,1.4,0.09,0,0.45
163,Sekou Doumbouya,Lal,F,21.25,2,8.2,17.1,30.9,17,4,0.75,6,2,7,3,19.5,0,1.5,1,1
164,Jeff Dowtin,Gol,G,24.87,4,6.9,14.4,11,14.3,0,0,5,1,1.5,1.8,13.7,0.8,0,0.25,0.25
165,Jeff Dowtin,Mil,G,24.87,1,3,6.3,14.2,0,0,0,0,1,0,0,0,0,0,0,0
166,P.J. Dozier,Den,G-F,25.41,18,18.9,39.4,15.2,11,13,0.769,51,48,5.4,3.5,10.3,1.6,0.61,0.33,0.72
167,Goran Dragic,Tor,G,35.88,5,18,37.4,18.8,2.5,10,1,20,14,8,2.8,8.4,1.8,1,0.2,0.2
168,Goran Dragic,Bro,G,35.88,12,25.7,53.6,17.1,19.6,17,0.706,55,36,7.5,2.8,5.8,5.2,0.75,0.08,2
169,Andre Drummond,Phi,C,28.62,49,18.4,38.4,17.7,22.4,82,0.512,236,2,6.1,8.8,26.7,2,1.16,0.92,1.61
170,Andre Drummond,Bro,C,28.62,14,21.5,44.9,21.9,16.3,55,0.527,103,1,11.4,9.6,24.2,1.6,0.5,0.93,1.79
171,Chris Duarte,Ind,G,24.78,55,28,58.4,21.1,11.8,112,0.804,366,255,13.1,4.1,8.1,2.1,1.02,0.18,1.64
172,David Duke Jr.,Bro,G,22.44,21,16.2,33.7,16,7.1,21,0.81,71,37,5,3.2,10.8,0.8,0.67,0.33,0.43
173,Kris Dunn,Por,G,28.01,5,24.7,51.4,15.4,18.3,4,1,30,4,7,2.6,5.7,5.6,2,0.2,1.6
174,Kevin Durant,Bro,F,33.48,45,36.6,76.3,31.3,12.5,321,0.9,672,233,29.6,7.2,10.8,6.1,0.78,0.87,3.31
175,Jaime Echenique,Was,C,24.9,1,3.1,6.5,0,,0,0,0,0,0,0,0,0,0,0,0
176,Anthony Edwards,Min,G,20.63,63,34.4,71.6,26.4,12.2,250,0.78,560,531,21.1,4.7,7.3,3.7,1.52,0.7,2.65
177,Kessler Edwards,Bro,F,21.62,38,21.5,44.7,13.9,14.4,15,0.8,107,112,6.1,3.7,9.5,0.7,0.66,0.45,1
178,Rob Edwards,Okc,G,25.17,2,5.5,11.4,19.8,20,0,0,0,4,1.5,1.5,14.1,0,0,0,0.5
179,CJ Elleby,Por,F-G,21.77,47,18.2,37.9,14.8,15.1,62,0.726,135,86,5.3,3.7,11,1.2,0.6,0.28,0.94
180,Wayne Ellington,Lal,G,34.31,40,18.5,38.6,13.4,6.9,5,0.8,22,191,6.3,1.7,4.9,0.7,0.58,0.1,0.4
181,Joel Embiid,Phi,C-F,28.02,58,33.4,69.7,37.1,10.9,686,0.822,901,217,29.8,11.3,18.9,4.3,1.1,1.43,3
182,James Ennis III,Bro,F,31.73,2,6.9,14.3,22,0,0,0,5,2,2.5,2.5,19.9,0,0.5,0.5,0
183,James Ennis III,Lac,F,31.73,2,14.1,29.3,21.5,7.3,4,1,7,4,10,2.5,9.3,0,0.5,0.5,0.5
184,James Ennis III,Den,F,31.73,3,4.6,9.7,23.6,13.4,1,0,4,2,1.3,0.7,8,1,0,0,0.33
185,Drew Eubanks,San,F-C,25.14,49,12.1,25.3,17,19.2,79,0.747,151,8,4.7,4,17.3,1,0.27,0.61,0.94
186,Drew Eubanks,Por,F-C,25.14,12,27.4,57,16.1,13.1,23,0.87,92,4,11.7,8.2,16.3,1.6,0.42,0.33,1.33
187,Tacko Fall,Cle,C,26.28,11,5.3,11.1,13.6,16.6,7,0.286,12,0,1.1,2.1,21.5,0.2,0,0.55,0.27
